model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
llama,4,high,fixed_burst,victim_median_e2el_ms,ok,5,5,101011.69657100001,101098.4474017,553.9623272628636,205.17812649998814,100474.8067515,101989.3474875
llama,4,high,fixed_burst,victim_p95_e2el_ms,ok,5,5,104298.5278202,104142.58298899,450.0003008681197,432.9735797500034,103420.46286525,104537.28587165
llama,4,high,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,2.5288689504397905,2.5297464450821474,0.009085586392266738,0.011446664640644144,2.5167270724494033,2.5388531121479594
llama,4,high,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,4,high,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,4,high,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,low,no_burst,victim_median_tpot_ms,ok,5,5,20.879808277777776,20.999930406349204,0.2684097494194535,0.01477854761904851,20.867308968253965,21.479783365079363
llama,8,low,no_burst,victim_median_itl_ms,ok,5,5,20.871071,20.867390699999998,0.01868738833946487,0.02457499999999868,20.8491295,20.893496
llama,8,low,no_burst,victim_p95_itl_ms,ok,5,5,21.1323415,21.119997090000002,0.07062208627727043,0.08940055000000058,21.01437555,21.18519895
llama,8,low,no_burst,victim_itl_iqr_ms,ok,5,5,0.22575349999999972,0.2525060499999988,0.08460496933292332,0.10129825000000281,0.17087250000000154,0.37884099999999776
llama,8,low,no_burst,victim_median_ttft_ms,ok,5,5,454.2245345,459.31034339999997,11.978583328465916,3.594283999999959,451.9143665,480.50010599999996
llama,8,low,no_burst,victim_p95_ttft_ms,ok,5,5,494.73856920000003,496.01894039,5.4344053893538105,2.850446600000055,491.761278,505.35174945
llama,8,low,no_burst,victim_median_e2el_ms,ok,5,5,1789.1081884999999,1795.0742763000003,15.42665126527245,4.60575649999987,1785.0991465,1822.319954
llama,8,low,no_burst,victim_p95_e2el_ms,ok,5,5,1824.60835985,1838.5560772200001,35.56244305037062,8.629021099999818,1816.0929546,1901.55540225
llama,8,low,no_burst,victim_goodput_tokens_per_s,ok,5,5,247.32963038392631,246.70979975133832,1.8980161353540206,0.7593687554016526,243.38457466666856,248.01202180767925
llama,8,low,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,8,low,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,low,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,low,fixed_burst,victim_median_tpot_ms,ok,5,5,22.972838936507937,23.454544361904762,0.6840658149744692,1.2511160873015896,22.944520523809523,24.20870208730159
llama,8,low,fixed_burst,victim_median_itl_ms,ok,5,5,22.288777000000003,22.2851297,0.014060096726195744,0.008244499999996435,22.262242,22.299552
llama,8,low,fixed_burst,victim_p95_itl_ms,ok,5,5,22.77689905,22.7424869,0.0879596357861952,0.07729110000000361,22.61322645,22.842754
llama,8,low,fixed_burst,victim_itl_iqr_ms,ok,5,5,0.4247630000000022,0.41033980000000125,0.09685331321407473,0.050130750000004554,0.24683450000000207,0.4957662499999991
llama,8,low,fixed_burst,victim_median_ttft_ms,ok,5,5,480.480946,481.1324735,6.413328122201182,8.758100000000013,475.10121,490.4067605
llama,8,low,fixed_burst,victim_p95_ttft_ms,ok,5,5,519.0208874000001,516.37384234,6.04917026948353,10.273310200000026,509.10470625,522.12808605
llama,8,low,fixed_burst,victim_median_e2el_ms,ok,5,5,1931.3495245,1928.0056764999997,8.298215642936874,13.423043499999949,1918.278264,1936.7650374999998
llama,8,low,fixed_burst,victim_p95_e2el_ms,ok,5,5,2128.9199335,2125.5430952599995,10.546285545060087,17.490474000000177,2114.2592572,2137.5727302
llama,8,low,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,225.31140469668279,225.63392491981375,0.8363699493910555,1.5295351683616047,224.8446168809274,226.57563815515712
llama,8,low,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,8,low,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,low,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,8,high,no_burst,victim_median_tpot_ms,ok,5,5,1414.8448847857144,1411.6611961714284,5.789618421910506,6.612799523809599,1402.749073126984,1416.3651971031745
llama,8,high,no_burst,victim_median_itl_ms,ok,5,5,1414.4882495,1411.370678,5.784183633698907,6.554425000000265,1402.4837465,1416.186882
