dataset_model,offload_gb,concurrency,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0
llama,4,2,15,300,0,15,875.1476885008742,494.6639117501036,890.1231736490445,494.4962109984772,921.5079259956838,15,481.10883156298615,474.090590691999,483.44502384029545,474.08648240337743,483.4601472637902,15,483.46277099699364,483.4195998508221,483.5331452519313,483.4164705025614,483.5412530010217,15,31041.685307500302,15543.958503700196,61985.21549289762,15483.655634499883,61985.25714849893,15,1162.8918398473616,496.93436881902016,1163.962311357609,496.9283197006007,1163.9823052486463,15,483.5105213960431,483.37848408897514,483.6493676663425,483.3299551072005,483.6559462952972,15,484.37352605033084,484.29637165841996,484.45714631594456,484.29406540417403,484.4753075052722,15,31056.749061543815,15580.872659091474,62002.0185907276,15580.6851209054,62002.65383004735,15,0.06442626061936157,0.03226748113769552,0.12861878826893122,0.03226707771600254,0.12872754051252422,15,4.123280679639141,4.109223109305866,4.135591942911229,4.109215208549433,4.1358732226161194,15,20.551977137576344,12.358445275737385,36.913592233183266,12.358290765228972,36.94480412709445,15,310.43242006799846,155.49832488899992,619.8190653926008,155.36690843599354,619.826814688,23.83143361101632,23.949292892131073,14.561803750831041,23.303626388133214,0.04270710562091764
llama,4,4,15,300,0,15,1169.2433950011036,767.0887443004176,1452.972770449196,739.351420001185,1453.3917285007192,15,483.2292812795394,483.1595640806545,483.2918124997833,483.14286648412,483.3127936288938,15,483.248298001854,483.1811224004923,483.2949188486964,483.1558859987126,483.3114175016817,15,31893.84871150105,15844.409504403666,62538.83383774955,15813.356642000144,62542.94812800072,15,1456.1585152514454,1368.897660083021,1463.2525489315958,1187.7543823524322,1463.9947866500734,15,483.3581315661685,483.295275724808,483.4696921133992,483.28799868192056,483.53653221289983,15,484.2223391489824,484.13397776639613,484.429396153173,484.07264975139697,484.51843010079756,15,31902.175368748794,16065.45707823745,62550.9925939759,15861.271101450257,62551.2122422504,15,0.12577502993060038,0.06399642084741146,0.2525175547424842,0.06399212335697474,0.2528139554230946,15,8.090046573539027,7.832875791045743,8.231996103014787,7.832857898293718,8.239816851633984,15,40.122234547861524,24.51062918455859,72.47253821109298,24.508983245721325,72.55760520642815,15,159.0140746620018,79.2024610799992,312.5174779123983,79.10955693299911,312.53846490499564,23.57382247131523,23.599352637657397,18.81565821814913,23.574531393688485,0.042722508967689615
llama,4,8,15,300,0,15,1171.4281790009409,1165.3072241511836,1172.2349183015467,1162.4994019985024,1172.3966645004111,15,486.35483111115354,486.25800500592715,486.47468563504515,486.24045594445465,486.5180320354173,15,486.2383379986568,486.1366053002712,486.3468413499504,486.1278524986119,486.37379450156004,15,31800.80448750232,16233.450309399268,62944.87178944946,16232.66509700261,62945.99605350231,15,1454.3765750964667,1368.6769804777214,1455.755529317721,1182.4620940005846,1456.685484151967,15,486.43838987253173,486.33567003686096,486.53986045852787,486.29967103214204,486.5751613709548,15,487.3649369463237,487.2712590527226,487.5177122770765,487.21020155026054,487.62835609923053,15,31826.782818951324,16261.197183116237,62971.086042409115,16260.011089045654,62971.99139874792,15,0.2100066402655879,0.10612639617152549,0.4111266280931473,0.10612577693793795,0.4111322116669617,15,13.440424976997626,13.153325054555427,13.585227430925908,13.152322513399442,13.586530320713862,15,66.99211824472255,40.64640973369426,117.99334226273328,40.64617256723024,117.994944748418,15,95.23508387499896,48.64681252669834,188.4545289558977,48.64615185200091,188.4556285669969,23.25018449075051,23.28015888056213,18.119309052619457,23.009572058558625,0.04334775426268405
llama,4,12,15,300,0,15,1074.0211815027578,1070.3062263495667,1186.1924346459996,1070.1757914976042,1444.1134549961134,15,493.13566132261786,492.8814427822691,493.30086373142876,492.87281177420215,493.35992428738007,15,492.6072419984848,492.33400900011475,492.78510514996015,492.24925999806146,492.7997039994807,15,32135.307473003195,16354.322377450808,63719.81151460095,16351.382724998984,63725.835565503075,15,1174.0722650491082,1170.3986114089278,1261.841960952588,1170.298616298169,1463.0487827500474,15,493.1540741114722,492.8925333761042,493.31254221873473,492.8884736145612,493.3640870747881,15,494.0040695033531,493.7589756521993,494.22158821180346,493.7293964499986,494.22331000132544,15,32136.814991245046,16356.51578037694,63721.58813608857,16353.482556547171,63727.4940464471,15,0.3127924061170785,0.15789213886870548,0.6136274814488062,0.15789163775252163,0.6136659036899976,15,20.018713991493023,19.632000879782126,20.21267493881547,19.62907760820518,20.213062576731527,15,99.78077755134804,60.4726891867142,176.1110871758074,60.472497259215785,176.1221143590293,15,63.94017120899662,32.59306442140296,126.6687508535004,32.59102368200547,126.66915287399752,22.103291091666236,22.175810852671702,13.318054183144227,21.631453908861758,0.04486736774016856
llama,4,16,15,300,0,15,1153.36495000156,1150.616614399405,1155.760194301547,1149.9695995007642,1156.3025935029145,15,493.5277494527484,493.26378732474683,493.7184684839233,493.1193211935264,493.83273930640917,15,493.35381950368173,493.12205529822677,493.4704305491323,493.092438999156,493.5002109959896,15,32241.540552502556,16443.92311900301,63836.22674664948,16441.56601600116,63842.78083299796,15,1183.6369571519756,1181.6375847148813,1186.336103725662,1181.6224110967598,1186.7657393991979,15,493.5338145121989,493.26487595684193,493.72132432387934,493.1206970969792,493.83464345011174,15,494.3982871987828,494.1418971800522,494.7346218675011,493.8341660494188,494.76337709711515,15,32243.599667898892,16445.66230403194,63838.11846974825,16443.13566810415,63844.51133314651,15,0.31322980134291334,0.15825178923567543,0.6136599354673914,0.15825138001387112,0.6137439078834309,15,20.046707285946454,19.626302328497886,20.256597459802272,19.626080315221873,20.256888153462555,15,99.92030662838934,60.61043527726369,176.12040147914132,60.61027854531264,176.1445015625447,15,63.850884922998375,32.59134091140076,126.38087756639797,32.58688150400121,126.3812043739963,21.87099232408844,21.897626935787784,12.891412081125035,21.33553014768708,0.04483746371647343
llama,8,1,15,300,0,15,948.4868779982207,948.2784552499652,949.4386416467023,948.0418254970573,949.4802184999571,15,364.7151707204547,364.7009331386793,364.72358951143076,364.7008989515128,364.7255989055238,15,364.68786900513805,364.67994979102514,364.69944910058985,364.6786204990349,364.7012844958226,15,23925.822348501242,12254.208962502162,47268.87878909547,12254.097151497263,47270.14882850199,15,952.2022857046977,950.8669525713776,953.8480596002773,950.8147193409968,955.3732002379547,15,364.7401617848594,364.7307777038987,364.80083491327196,364.7222916679663,364.8962474421311,15,365.1317566567741,365.0927346861863,365.1741863202915,365.091515849781,365.2003243507352,15,23929.81794549778,12257.888787874908,47278.62739343713,12257.545073708025,47284.121362301084,15,0.04179460731184227,0.02115492974300787,0.08160225574097045,0.021154757629277158,0.08160236849412965,15,2.6748548679579054,2.611108758897628,2.707924977800948,2.610955489206827,2.7079302571117703,15,13.332479732477683,8.102338091572015,23.419847397658522,8.102272172013151,23.41987975781521,15,478.53063556199777,245.09126394130874,945.406117795204,245.09092528899782,945.4138095310045,18.722238267292376,18.719745438808037,33.43705525568041,19.05217521035613,0.052503499878314916
llama,8,2,15,300,0,15,1673.0717804966844,955.330149497604,1784.3303030967945,954.3291285008308,1784.8329709959216,15,937.3504348503936,923.4413665547523,941.994761889825,923.4315131290068,942.0187628549626,15,942.0284094958333,941.9464451464592,942.0506455004215,941.9250184946577,942.0683205025853,15,60444.19999600359,30154.712385895982,120726.82110059832,30153.421629998775,120727.56058549567,15,2250.191891899158,960.4440927640826,2252.6993759204197,958.5052551919944,2252.84411659959,15,942.0736320753002,937.8083705607108,942.3027651585336,937.7578463134441,942.3120111206381,15,943.3256554984837,943.2194140216598,943.4262723567372,943.1756885518553,943.4510205450351,15,60658.17606349956,30166.47861888341,120812.63351547692,30166.06287354516,120935.22938264723,15,0.03307201958230697,0.01656330166023462,0.06632033099225466,0.01656284443979347,0.06632076131340468,15,2.120044088293564,2.1103396453054137,2.1222505917521493,2.1074029928700244,2.12226436202895,15,10.549974246755923,6.343744535869858,19.033934994777084,6.3435694204408986,19.034058496947143,15,604.7408127050003,301.56664933859577,1207.4887251826017,301.5646926229965,1207.5220577419968,46.43108418073161,46.66525665502461,27.838664546300574,45.37669395469749,0.0219584728361687
llama,8,4,15,300,0,15,2264.6589529977064,971.7840003999299,2829.74242575292,971.017005496833,2830.6847010026104,15,942.1757927440464,942.0449022562653,942.3206425555368,942.0299691825807,942.331935491922,15,942.1830185019644,942.0287615503184,942.2751216974575,941.9717980053974,942.2934574977262,15,61616.620908993355,31467.929434600956,121948.86008334943,31467.227017506957,122007.95085250138,15,2839.153685692145,2174.1284669999736,2849.929467828115,1958.1048857966387,2851.2138257035986,15,942.3314634579818,942.160516441578,942.6944569647858,942.159156822313,942.782411054847,15,943.4856079489691,943.4238482893124,943.828829568447,943.3899233525153,943.8719599929755,15,61622.99452023799,31474.43000828367,122108.37009487506,31474.25111741104,122499.88890000095,15,0.0649960128079585,0.032820141521317625,0.1277107958720184,0.03280741615409143,0.12845037300281487,15,4.159744819709344,4.017853721201634,4.231433442897782,4.017587927199247,4.237167774247465,15,20.73372808573876,12.57011420266465,36.65299841526928,12.565240387017019,36.865257051807866,15,307.71118313200714,156.60607524359656,609.3819332216997,155.7021558790002,609.6182614949939,45.96303604803774,46.01135564217763,36.44326666496678,45.54429843608868,0.021967084336028828
llama,8,8,15,300,0,15,2263.615078991279,2261.940348002827,2440.7235100494286,2261.2403795064893,2844.5599874976324,15,948.1900598228552,947.9153687563758,948.3423746503574,947.8535466773939,948.3462209370093,15,947.9639290002524,947.7972358028637,948.1888337482815,947.7432245039381,948.2066259952262,15,61977.54863549926,31634.46804885316,122852.32871524568,31631.463270503446,123287.37969350186,15,2836.0687848500675,2832.448256128846,2847.5439028575056,2830.8020919597766,2866.0183278479963,15,948.292357646865,948.0755543328005,948.4775872306802,948.0676814604233,948.492295032315,15,949.5362740046403,949.205497496514,949.7224196354364,949.185431990918,949.7836594484397,15,62012.082219740114,31666.27490674873,122894.99653427374,31664.038702139078,123306.08496054847,15,0.10775282197967004,0.05441326740495116,0.21103562027397252,0.054326493275906364,0.2110561140745281,15,6.896180606698882,6.751990271664445,6.970389502468498,6.751767549174987,6.970686532359241,15,34.37315021151474,20.840281416096293,60.5672230186301,20.807046924672136,60.573104739389564,15,185.6099880499969,94.77073138109846,367.557817644703,94.76152864700998,368.1445054520009,45.3282098027289,45.38669445729464,35.012937137462906,44.84405015293839,0.022241405521170328
llama,8,12,15,300,0,15,2050.6413350012735,1685.2271331976226,2291.1706448045143,1685.0363649937208,2847.537491499679,15,959.1179376338699,958.7393330548836,959.2538934251877,958.3447822097373,959.2588945118001,15,958.392210501188,957.8317999483261,958.5419912044017,957.6834394974867,958.5615485048038,15,62469.40400850144,31779.690536300768,123872.4407997499,31776.482948000194,123873.41875050333,15,2270.8889533991173,2239.9406445769273,2450.1044858008386,2234.98835429491,2858.078919707623,15,959.1232406806811,958.8444183572458,959.2572453731004,958.6694564837671,959.2619409921142,15,960.2118729926588,959.9079781563341,960.4554615677625,959.7564379531832,960.5557109425717,15,62471.36419855451,31781.075278031276,123874.54622258105,31777.791915151465,123875.25898249369,15,0.16071417337392577,0.08112169669712604,0.31538404854063234,0.08111968399346692,0.3154083226451772,15,10.285707095931249,10.025449425375005,10.388589832101932,9.873929970237436,10.3984668458627,15,51.26782130628232,31.069609834999277,90.51522193116149,31.06883896949783,90.52218859916586,15,124.44453143200371,63.414748283305386,246.54316686629463,63.40986766699643,246.5492839149956,42.989515116187924,43.14415739509903,25.42831824930079,42.050446682646204,0.023053059399166218
llama,8,16,15,300,0,15,2187.832780997269,2183.9368442451814,2191.8721169080527,2182.6756699956604,2192.2520860098302,15,959.4462378583386,959.2121177452716,959.5756119441764,959.1637273547202,959.6237153621867,15,959.2260434947093,959.0187581488863,959.4407850512653,958.9029995040619,959.4797809913871,15,62633.405180509726,31921.114858001238,124053.08050419699,31919.93039150111,124054.16595150018,15,2292.6592621435707,2289.6776962278823,2295.5697658748254,2289.3331450010014,2295.7427016466686,15,959.4467777007752,959.2145759851866,959.5830644706539,959.166321224151,959.6250978583049,15,960.6185485034075,960.4107217668934,960.9115029341046,960.3889604535652,960.967804952088,15,62635.771433552145,31923.0430796594,124054.43281978187,31921.66878905191,124055.81733364379,15,0.16096023583684277,0.08130882080972995,0.31548951614511667,0.08130764756571135,0.3154993112939886,15,10.301455093557937,10.094568654436495,10.408006637132164,10.094507505255159,10.408390330190329,15,51.34631523195284,31.14127837012657,90.54549113364848,31.14082901766745,90.54830234137474,15,124.25429110499681,63.39354870690149,245.97577240219107,63.391580533003435,245.97932173399022,42.51846289665282,42.57547670081865,24.453885081553267,41.44705499741829,0.023040747410328508
