dataset_model,path,date,experiment_id,server_config_label,model_key,model_name,offload_gb,concurrency,input_len,output_len,num_warmups,run_no,completed,failed,duration_s,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,p99_e2el_ms,validation_status
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out64_run1.json,20260704-084842,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,64,1,1,20,0,2.8708605300016643,5100,1280,6.966552290155456,445.8593465699492,2222.33018055959,72.79233509998448,82.12534299855179,83.54297850019066,83.82701329974225,21.75277793809535,22.30692642063202,22.314402808732996,22.314412206198163,21.41277314843819,22.217054000066128,22.547868951733108,23.740072809196135,1443.2173451999915,1487.6576130009198,1489.3495584507036,1489.610230089529,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out64_run2.json,20260704-084854,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,64,1,2,20,0,2.870494046001113,5100,1280,6.967441729364327,445.91627067931694,2222.6139116672202,73.01653934991919,82.00427449992276,83.85334425147448,83.98762484874169,21.748060561107454,22.31050838888641,22.31899763489295,22.31907677139783,21.408109815627085,22.22885999981372,22.563166999498208,23.431382929884442,1443.1443546996888,1487.826774999121,1489.850979651419,1489.923022330222,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out64_run3.json,20260704-084907,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,64,1,3,20,0,2.868827175003389,5100,1280,6.971490013153676,446.17536084183524,2223.9053141960226,72.27141855018999,80.10168750115554,81.69892485184391,81.91254337059945,21.743498586505346,22.30913919840301,22.317987984102466,22.318015488880707,21.403636165624107,22.197104000952095,22.575700050219893,23.295845589673274,1442.111829500027,1485.58241200044,1487.5620977487415,1487.6822195498971,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out64_run4.json,20260704-084919,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,64,1,4,20,0,2.868811250998988,5100,1280,6.971528710031212,446.17783744199755,2223.9176584999564,72.73366905046714,80.66220750151842,82.52984750070027,82.80412390115089,21.734598795234294,22.294432730141416,22.300968699207825,22.300983428734952,21.394891671874916,22.213719501451124,22.453787999984343,23.432704751539866,1442.0133931502278,1485.2814260011655,1487.4913434508926,1487.7551006888825,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out64_run5.json,20260704-084931,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,64,1,5,20,0,2.8682104899999104,5100,1280,6.972988931506427,446.2712916164113,2224.3834691505504,71.85915389982256,79.83140949909284,81.43144024998037,81.82950165017246,21.741959108733266,22.29833557144697,22.306987334111852,22.307114254091708,21.40212553125025,22.135262001029332,22.57635600199137,23.10003422069714,1441.602577750018,1484.6991280010116,1486.7616187526437,1487.1501421493303,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out128_run1.json,20260704-085256,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,128,1,1,20,0,5.636363911999069,5100,2560,3.5483869232472123,454.19352617564317,1359.0321916036823,80.70202770049946,87.71762849937659,89.8530116506663,89.94907032985793,22.25956527283673,22.701387047242513,22.702367525600966,22.707984673616295,22.085610433980207,22.586724000575487,23.128298000301584,23.529541801726737,2907.666817350764,2970.8210045009764,2972.6683569997476,2972.970411398819,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out128_run2.json,20260704-085312,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,128,1,2,20,0,5.639262914999563,5100,2560,3.5465627869208065,453.96003672586323,1358.3335473906689,82.14424819962005,89.99063550072606,91.8308316016919,91.85204472130863,22.259406677561156,22.696377673228415,22.697901493285013,22.716044386859465,22.08545329257845,22.609249497691053,23.008935498910432,23.334430308968876,2909.0888962498866,2972.4015345018415,2974.3042596010127,2974.3275703205654,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out128_run3.json,20260704-085328,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,128,1,3,20,0,5.639869324000756,5100,2560,3.546181454043441,453.91122611756043,1358.1874968986378,81.39630810037488,88.77600249979878,90.50097510207706,90.84533262099285,22.274036707483358,22.71752940159929,22.718193022835948,22.722209999842526,22.09996603632618,22.63059550023172,23.075973502454872,23.740255530792624,2910.1989699507612,2973.8847610005905,2975.3441820514126,2975.922269211369,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out128_run4.json,20260704-085344,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,128,1,4,20,0,5.64146265099771,5100,2560,3.5451799005463487,453.78302726993263,1357.8039019092514,81.99437454986764,89.46769700196455,90.99714125168248,91.67596185081493,22.272522049212327,22.714094870082583,22.715389959460403,22.72359650529081,22.098469112887642,22.624795001320308,23.05313650085736,23.617810211908363,2910.6046747998334,2973.825137001768,2975.7090941480783,2976.3536828291035,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out128_run5.json,20260704-085400,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,128,1,5,20,0,5.639849800001684,5100,2560,3.5461937301936706,453.91279746478983,1358.1921986641757,81.84754275007435,89.34789349950734,91.0811826992358,91.46327573860617,22.267289888975395,22.70773746062418,22.70894853621954,22.71828326314346,22.093269569135998,22.607519502344076,23.214488001030983,23.480211710557338,2909.7933586499494,2972.8182250019017,2974.9757780975415,2975.342160417167,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out32_run1.json,20260704-085101,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,32,1,1,20,0,1.4865080269992177,5100,640,13.454350489027346,430.5392156488751,3861.3985903508483,81.27978464999615,88.84279600169975,90.70158199883736,90.97829800182808,22.195949717734624,22.62390545160264,22.630071553137366,22.686343987976038,21.502033485933225,22.532822998982738,23.508849998688675,25.618561710143695,769.3542258997695,790.063292000923,792.0387000001938,792.3220888003561,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out32_run2.json,20260704-085111,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,32,1,2,20,0,1.4856910740018066,5100,640,13.46174877804757,430.7759608975222,3863.5218992996524,81.85516965040733,89.5630404993426,90.9844002509999,91.40173525196587,22.146020124167876,22.565402709651316,22.572089154780244,22.649232979371938,21.45373666092496,22.425279499657336,23.434072051895782,24.871542211221822,768.3817934996114,789.02234799898,790.5141912506224,790.9259326526808,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out32_run3.json,20260704-085121,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,32,1,3,20,0,1.4846311530018284,5100,640,13.47135950876505,431.0835042804816,3866.2801790155695,81.42663389971858,88.8817464983731,90.66785000195523,90.67535879996285,22.123375032266086,22.532741322603187,22.538295835581646,22.599330650992933,21.431805728133213,22.495420998893678,23.39405570201051,24.754040200350573,767.2512598999674,787.3852074990282,789.0165817532761,789.1457779510893,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out32_run4.json,20260704-085131,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,32,1,4,20,0,1.4845227489968238,5100,640,13.47234322513086,431.1149832041875,3866.562505612557,81.72148159992503,89.20045100057905,91.161079500489,91.70769430045766,22.110696975810686,22.518668322581725,22.525866982294012,22.6055230481084,21.419528568748092,22.53001299868629,23.220186549951904,24.86652040039189,767.1530878500562,787.0858634996694,789.2376355499437,789.7975967101229,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out32_run5.json,20260704-085141,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,32,1,5,20,0,1.4852541379987088,5100,640,13.46570899102076,430.9026877126643,3864.658480422958,82.0154351004021,89.79214650025824,91.64946595083165,91.65969479152409,22.12342296288332,22.533172564503584,22.538405801653074,22.597278760264498,21.43185206873568,22.479676499642665,23.30019305045425,24.787431098629895,767.841546949785,788.0977249988064,790.2167855003427,790.2187995018539,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out64_run1.json,20260704-085153,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,64,1,1,20,0,2.86359285099752,5100,1280,6.984233108779095,446.99091896186206,2227.970361700531,81.9676579994848,89.67760349878517,91.46368189794885,91.67868437762081,22.148299670640434,22.563953563515078,22.568022591298764,22.614004340478186,21.802101090628412,22.525901998960762,22.931558001073427,24.325349610771813,1477.3105372498321,1511.0019969997666,1513.0309483500241,1513.2106328702866,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out64_run2.json,20260704-085205,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,64,1,2,20,0,2.863086323999596,5100,1280,6.985468734334543,447.0699989974108,2228.3645262527193,82.2886321500846,90.02945249994809,91.89332074929553,92.29874654971354,22.143379546027322,22.56067868253763,22.565234237305365,22.617689425251953,21.797272337502704,22.517952500493266,22.90055000103166,24.364594529542973,1477.321543549806,1511.166600001161,1513.209803251084,1513.6216206481913,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out64_run3.json,20260704-085216,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,64,1,3,20,0,2.86291173599966,5100,1280,6.985894726865019,447.0972625193612,2228.500417869941,82.47074735063507,90.25326950177259,92.19033564932033,92.56195512989507,22.139991695234677,22.558891785708497,22.562006626939695,22.597458455573015,21.79393810311865,22.52285699978529,22.878462001790467,24.219183308341602,1477.2902241504198,1511.0473799995816,1513.2657124015168,1513.7773808812562,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out64_run4.json,20260704-085228,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,64,1,4,20,0,2.8625426329999755,5100,1280,6.986795504610454,447.15491229506904,2228.7877659707347,81.3084022503972,88.82263449959282,90.54111150035169,90.79146310221404,22.1583744325327,22.58200104759973,22.586952822183818,22.620577827914357,21.812007483586626,22.53167249909893,23.1319459999213,24.72524180990149,1477.2859914999572,1511.424148500737,1513.3448268001302,1513.5086189601498,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc16_in256_out64_run5.json,20260704-085240,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,16,256,64,1,5,20,0,2.8627956780001114,5100,1280,6.986177935678447,447.1153878834206,2228.5907614814246,82.22929470048257,90.01687750060228,91.49415630199655,91.93830486176012,22.143989151583003,22.565239293654155,22.568343697581902,22.598749958572352,21.797889115620706,22.526077500515385,23.063754052600416,24.18082651005534,1477.3006112502117,1511.221946499063,1513.1195183013915,1513.561934060126,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out128_run1.json,20260704-082943,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,128,1,1,20,0,50.10220957599813,5100,2560,0.3991839914697327,51.09555090812579,152.88746873290765,28.62069744969631,28.62011149954924,28.971115651074797,29.319418329396285,19.498095211419578,19.50427519290043,19.515611316127767,19.519963680551278,19.34567919531105,19.493685500492575,19.61124005028978,19.90615640195756,2504.8787892999826,2505.602673498288,2507.3777925990726,2507.626473719938,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out128_run2.json,20260704-083044,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,128,1,2,20,0,50.0751757179969,5100,2560,0.399399497120727,51.12313563145305,152.97000739723842,28.670670900464756,28.64035499987949,29.12064514839585,29.176917828772275,19.487074985827203,19.480857877950502,19.510353131871543,19.51432484999377,19.334755917188318,19.486470000629197,19.5847485012564,19.87432500005525,2503.52919410052,2502.76988800033,2506.446042850257,2507.254391770948,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out128_run3.json,20260704-083144,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,128,1,3,20,0,50.071912461000466,5100,2560,0.3994255265479905,51.126467398142786,152.97997666788038,27.890969749569194,27.778425501310267,28.54832359989814,28.610455118105165,19.492115401575806,19.488977118106867,19.51123501572926,19.514143481885515,19.33974177461124,19.48730850017455,19.624591549654724,19.899926701218646,2503.3896257496963,2502.945925500171,2506.039282349411,2506.365282067891,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out128_run4.json,20260704-083244,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,128,1,4,20,0,50.0824423640006,5100,2560,0.3993415467768013,51.115717987430564,152.9478124155149,28.119002449784603,28.119972499553114,28.724702049294137,28.74709240924858,19.49440941141974,19.48843385039576,19.517037009832773,19.518270513779168,19.34201164023648,19.489446998704807,19.625533499311132,19.858086987005663,2503.9089977000913,2503.140586501104,2506.5967227470537,2506.606918149482,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out128_run5.json,20260704-083345,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,128,1,5,20,0,50.07982031600113,5100,2560,0.39936245525245523,51.11839427231427,152.95582036169034,28.36434784985613,28.433534998839605,29.033184598301887,29.360571319048177,19.491459052362302,19.48432848819105,19.515296765329847,19.517969954652894,19.339093771482396,19.48964150142274,19.599263497912034,19.881297089450527,2503.7796474998686,2503.3632025006227,2507.149126247714,2507.272918850831,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out32_run1.json,20260704-082428,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,32,1,1,20,0,12.628182286000083,5100,640,1.5837592099199025,50.68029471743688,454.538893247012,27.849786099432094,27.727221000532154,28.52572049941955,28.542843298746448,19.46302201290711,19.458124112955584,19.498816917726913,19.500779409377905,18.85436823750979,19.444028999714646,19.774377999237913,20.032533230551053,631.2034684995524,631.4035344985314,632.1794702496845,632.3622996505583,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out32_run2.json,20260704-082449,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,32,1,2,20,0,12.628087143999437,5100,640,1.583771142211631,50.68067655077219,454.54231781473806,27.719757149861834,27.623086998573854,28.225159050998627,28.25137980915315,19.46669833388671,19.46025158066468,19.493295724251148,19.497387686780947,18.858014437512338,19.447329001195612,19.809243498275464,19.953442699697916,631.18740550035,631.1074209988874,632.0337032500902,632.2707814509704,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out32_run3.json,20260704-082510,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,32,1,3,20,0,12.64383264099888,5100,640,1.58179885544736,50.61756337431552,453.9762715133923,28.413884700421477,28.3808024978498,29.20285060245078,29.24587572226301,19.469128285468727,19.468854838651755,19.496237188709088,19.497640908680737,18.860232478124317,19.453762999546598,19.842803549363452,20.04342640961113,631.956861549952,632.0074699997349,632.7314230520642,632.7570054114403,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out32_run4.json,20260704-082531,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,32,1,4,20,0,12.63703061400156,5100,640,1.5826502768649169,50.64480885967734,454.2206294602312,28.102630999637768,28.054151500327862,28.973780050910136,29.005655207329255,19.46946532421979,19.467866935531582,19.49632453071254,19.496346815872275,18.860657729686636,19.45192200219026,19.80013549909927,19.974242700736795,631.6560560504513,631.8489900004352,632.5333844986744,632.5374048983213,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out32_run5.json,20260704-082553,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,32,1,5,20,0,12.641295598001307,5100,640,1.5821163143406096,50.62772205889951,454.06738221575495,28.548934050195385,28.484582999226404,28.907318099481927,29.224528420709248,19.461205196791028,19.460637032264664,19.492226221072702,19.49946527003997,18.85269391406723,19.45161200092116,19.80278704832017,19.945000791121856,631.8462951507172,631.9505750016106,632.6324650997776,633.0570026209534,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out64_run1.json,20260704-082627,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,64,1,1,20,0,25.107802036996873,5100,1280,0.7965651461856191,50.980169355879625,254.1042816332125,28.186031750192342,27.90981950056448,29.36907859857456,29.952585320315848,19.47591892461036,19.47438289682886,19.488362875390088,19.488551102057542,19.17139609844014,19.47349650254182,19.695721547577705,19.888531299002352,1255.1689240006453,1255.2054975021747,1256.425848602339,1256.6969801221785,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out64_run2.json,20260704-082701,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,64,1,2,20,0,25.111172995999368,5100,1280,0.7964582141657156,50.9733257066058,254.0701703188633,28.020550999463012,27.961874999164138,28.526649950799765,29.017989190906516,19.48126837937058,19.48089138094806,19.492362077003886,19.503890878887823,19.176706381250597,19.476949999443605,19.625130498934595,19.907637991527736,1255.3404588998092,1255.3305655001168,1256.1022295491057,1256.122286709542,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out64_run3.json,20260704-082735,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,64,1,3,20,0,25.12453316599931,5100,1280,0.7960346911864508,50.94622023593285,253.9350664884778,28.46638385017286,28.366340000502532,29.266263498539047,29.523591899887833,19.48473556587689,19.48042148412949,19.51284012143405,19.521911783026766,19.18012508515403,19.48145449932781,19.70351805048267,19.922084711688512,1256.004724500417,1255.8566799998516,1257.1862529515784,1257.6246201920003,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out64_run4.json,20260704-082809,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,64,1,4,20,0,25.132195535999927,5100,1280,0.7957919940321786,50.93068761805943,253.85764609626497,28.92235034996702,28.85231250002107,29.439326147257816,29.505570030014496,19.48365076665747,19.479439547568393,19.50923758806947,19.510668330307425,19.179053069527185,19.4869530005235,19.634469051925407,19.85713850168395,1256.3923486493877,1256.0111259972473,1257.8277246488142,1257.8470385281253,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc1_in256_out64_run5.json,20260704-082843,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,1,256,64,1,5,20,0,25.12895281300007,5100,1280,0.7958946856573074,50.93725988206767,253.89040472468105,28.510477899908437,28.465644500101916,29.13984970018646,29.237611541066144,19.487733784923858,19.480318833331463,19.51496525559508,19.519242028870234,19.183055550007566,19.487487499645795,19.652300500820274,19.89868620141351,1256.2377063501117,1255.8052865006175,1257.8721841018705,1258.1717776200094,OK
