file,offload_gb,concurrency,input_len,output_len,run_no,completed,failed,tpot_median,tpot_p95,itl_median,itl_p95,ttft_median,ttft_p95,e2el_median,e2el_p95,n_tpot_values,n_itl_values,n_ttft_values,n_e2el_values
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out64_run4.json,0,1,256,64,4,20,0,19.481545157112933,19.48365076665747,19.333003035025342,19.4869530005235,28.887331424994045,28.92235034996702,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out64_run5.json,0,1,256,64,5,20,0,19.48402630912766,19.487733784923858,19.33527152482668,19.487487499645795,28.488061200005177,28.510477899908437,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out128_run1.json,0,2,256,128,1,20,0,20.207334202551845,20.20762911809821,20.12589004484866,20.202697998684016,45.09530440109302,47.17853530037246,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out128_run2.json,0,2,256,128,2,20,0,20.210753595267136,20.211162980300777,20.128708481112056,20.205062997774803,33.68800757425561,36.53338364983938,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out128_run3.json,0,2,256,128,3,20,0,20.20636160335367,20.207232679134417,20.127523129704628,20.20578299925546,57.497564025743486,60.28367300132231,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out128_run4.json,0,2,256,128,4,20,0,20.210775550589545,20.210921376771488,20.129973707864934,20.207017001666827,33.95769665012267,36.526507300186495,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out128_run5.json,0,2,256,128,5,20,0,20.211226160046046,20.212288394885565,20.13117746063955,20.20807200096897,55.67396972392089,60.009533997799736,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out32_run1.json,0,2,256,32,1,20,0,20.183032271747393,20.18637999516349,19.869617847399468,20.183959999485523,59.04291159895365,60.451787498095655,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out32_run2.json,0,2,256,32,2,20,0,20.18021341937422,20.180328387141344,19.861679446367475,20.174203998976736,59.026250225088006,60.38734950016078,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out32_run3.json,0,2,256,32,3,20,0,20.173700514518593,20.176023370954827,19.85636024483597,20.172029000605107,59.137341649602604,60.42320549931901,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out32_run4.json,0,2,256,32,4,20,0,20.177069116928784,20.178978298387058,19.862406287998624,20.176809000986395,47.54663015037295,48.23578630002885,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out32_run5.json,0,2,256,32,5,20,0,20.177009455675297,20.17706605646738,19.860984795681702,20.175804502287065,57.529100149622536,60.22121349997178,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out64_run1.json,0,2,256,64,1,20,0,20.180778830961078,20.181134571444883,20.021609331277546,20.17830399927334,57.445832224311744,60.10518949915422,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out64_run2.json,0,2,256,64,2,20,0,20.186045885725072,20.186737287307523,20.027735688803716,20.18433850025758,58.981930649042624,60.25731799854839,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out64_run3.json,0,2,256,64,3,20,0,20.189241902771176,20.19049010714442,20.031328101801193,20.187813501252094,55.866132751089026,60.09885200182907,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out64_run4.json,0,2,256,64,4,20,0,20.19737635159583,20.1982203539638,20.03574642738357,20.18908800164354,42.20678132460307,42.20699699908437,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc2_in256_out64_run5.json,0,2,256,64,5,20,0,20.192050228570945,20.193330599994667,20.032280135649216,20.186932999422424,55.684980474961776,60.05163000008906,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out128_run1.json,0,4,256,128,1,20,0,20.498965378150693,20.498993094485392,20.41537327354277,20.492023500992218,60.69069139930434,62.423751998721855,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out128_run2.json,0,4,256,128,2,20,0,20.505478205317143,20.506831875198575,20.422188087066218,20.4978290003055,60.782073849804874,62.422930999673554,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out128_run3.json,0,4,256,128,3,20,0,20.5100299901639,20.51059529529041,20.423757972096723,20.498353500443045,60.254884174901235,62.343234500076505,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out128_run4.json,0,4,256,128,4,20,0,20.507721572634843,20.509250306692028,20.424957850382697,20.500997999988613,43.797133951102296,46.9627959000718,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out128_run5.json,0,4,256,128,5,20,0,20.517410245266067,20.51764166771186,20.433523925051844,20.5097684993234,60.53625235090294,62.319587501406204,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out32_run1.json,0,4,256,32,1,20,0,20.504363112110198,20.508213353223844,20.176306590153104,20.48567450219707,60.44270547490669,62.143991999619175,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out32_run2.json,0,4,256,32,2,20,0,20.500299266935937,20.502044179034606,20.169122606182555,20.47718449830427,59.308145699651504,61.83272849921195,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out32_run3.json,0,4,256,32,3,20,0,20.495458571000317,20.497435093567482,20.161991430867943,20.46744399922318,59.33916924986988,61.99156749971735,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out32_run4.json,0,4,256,32,4,20,0,20.498506109652226,20.498857758045027,20.16438266449825,20.47149849931884,59.34089939955811,61.98176199904992,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out32_run5.json,0,4,256,32,5,20,0,20.482741182252454,20.4835662903098,20.145519481962992,20.449512998311548,57.57707482443948,60.604054498980986,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out64_run1.json,0,4,256,64,1,20,0,20.477799612701116,20.47788221745924,20.314870460967427,20.47195299928717,60.638225800994405,62.37635700199462,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out64_run2.json,0,4,256,64,2,20,0,20.489550250025037,20.490392309528985,20.320696128577254,20.471309002459748,60.42563632427118,62.14204049865657,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out64_run3.json,0,4,256,64,3,20,0,20.4854054995921,20.48544823729672,20.320166490243707,20.475118499234668,60.64821644922631,62.14826549876307,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out64_run4.json,0,4,256,64,4,20,0,20.488013300795473,20.488793063498356,20.323306657321893,20.479638002143474,60.71160895025969,62.13446450055926,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc4_in256_out64_run5.json,0,4,256,64,5,20,0,20.49043703411718,20.49045682537008,20.32295370365773,20.475823499509715,60.11768752541684,62.132159000611864,,,2,2,2,0
