dataset,offload_gb,label,run_concurrency,run_id,request_idx,source_file,model_name,input_len,target_output_len,actual_output_len,ttft_ms,itl_count,itl_mean_ms,itl_median_ms,itl_std_ms,itl_min_ms,itl_max_ms,itl_p95_ms,itl_p99_ms,decode_time_ms,e2el_ms
qwen,12,1,1,5,7,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1510.717963999923,64,1483.0314752656193,1506.4071514998432,186.84785520042757,0.00788000033935532,1511.3425859999552,1508.4528981989024,1510.2388190702368,94914.01441699963,96424.73238099956
qwen,12,1,1,5,8,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1508.991172999231,64,1483.4692395781417,1506.8635659999927,186.902064007254,0.008380000508623198,1509.9329260010563,1509.0140820496345,1509.48590635051,94942.03133300107,96451.0225060003
qwen,12,1,1,5,9,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1509.6855659994617,64,1483.1928518281075,1506.5482020008858,186.8675007963453,0.00965999970503617,1510.3232500005106,1509.1638508491997,1510.1559232601176,94924.34251699888,96434.02808299834
qwen,12,1,1,5,10,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1508.5640350007452,64,1483.1380274062553,1506.6386685002726,186.860909963143,0.007930000720079988,1509.8762929992517,1508.8960540992048,1509.662081659626,94920.83375400034,96429.39778900109
qwen,12,1,1,5,11,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1509.1301590000512,64,1483.1203560156325,1506.628979999732,186.85823803867535,0.01025100027618464,1510.0838070011378,1509.3085667991545,1509.9019997111827,94919.70278500048,96428.83294400053
qwen,12,1,1,5,12,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1510.3448040008516,64,1483.1601521874802,1506.6079069993066,186.8630652686026,0.008099999831756577,1510.1179939993017,1508.820598451075,1509.4361884695536,94922.24973999873,96432.59454399958
qwen,12,1,1,5,13,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1508.5356340005092,64,1483.0030175468778,1506.4259654991474,186.8417022656343,0.00833000012789853,1509.1794239997398,1507.8443295991747,1509.0259118999347,94912.19312300018,96420.72875700069
qwen,12,1,1,5,14,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1508.1065070007753,64,1482.9203978906094,1506.3566535000064,186.83223224314077,0.009360999683849514,1509.0720119987964,1508.279219099677,1509.002391329068,94906.905464999,96415.01197199977
qwen,12,1,1,5,15,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1510.9641710005235,64,1483.009918687486,1506.5009210002245,186.8432315192775,0.010489999112905934,1509.5884990005288,1508.1094931001644,1509.054025900332,94912.63479599911,96423.59896699963
qwen,12,1,1,5,16,porto/runs/2026-06-01_Qwen/bench_runs_offload_paper1_qwen_fullrep_offload12_20260602_054131/qwen_offload12_conc1_run5.json,Qwen/Qwen2.5-7B-Instruct,256,64,64,1509.977402000004,64,1483.0941699843834,1506.663224499789,186.85571780242554,0.00861000080476515,1509.0479530008452,1508.5670668999228,1508.9268336102577,94918.02687900054,96428.00428100054
